Problem;Package;File;Priority;Line;Description;Rule set;Rule
1;main;src/main/Cities.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
2;main;src/main/Cities.java;3;4;AvoidFieldNameMatchingTypeName: It is somewhat confusing to have a field name matching the declaring class name;Error Prone;AvoidFieldNameMatchingTypeName
3;main;src/main/Cities.java;3;4;CommentRequired: Field comments are required;Documentation;CommentRequired
4;main;src/main/Cities.java;3;4;"ImmutableField: Private field 'cities' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
5;main;src/main/Cities.java;3;6;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
6;main;src/main/Cities.java;3;10;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
7;main;src/main/Cities.java;3;10;MethodArgumentCouldBeFinal: Parameter 'index' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
8;main;src/main/Cities.java;3;14;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
9;main;src/main/Cities.java;1;14;MethodNamingConventions: The instance method name 'ToString' doesn't match '[a-z][a-zA-Z0-9]*';Code Style;MethodNamingConventions
10;main;src/main/Cities.java;3;17;LocalVariableCouldBeFinal: Local variable 'index' could be declared final;Code Style;LocalVariableCouldBeFinal
11;main;src/main/Cities.java;3;18;UseStringBufferForStringAppends: Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings;Performance;UseStringBufferForStringAppends
12;main;src/main/City.java;3;3;CommentRequired: Class comments are required;Documentation;CommentRequired
13;main;src/main/City.java;3;3;DataClass: The class 'City' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=7);Design;DataClass
14;main;src/main/City.java;4;3;ShortClassName: Avoid short class names like City;Code Style;ShortClassName
15;main;src/main/City.java;3;4;CommentRequired: Field comments are required;Documentation;CommentRequired
16;main;src/main/City.java;3;5;CommentRequired: Field comments are required;Documentation;CommentRequired
17;main;src/main/City.java;3;6;CommentRequired: Field comments are required;Documentation;CommentRequired
18;main;src/main/City.java;3;7;CommentRequired: Field comments are required;Documentation;CommentRequired
19;main;src/main/City.java;3;7;LongVariable: Avoid excessively long variable names like weatherDescription;Code Style;LongVariable
20;main;src/main/City.java;3;9;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
21;main;src/main/City.java;3;9;UncommentedEmptyConstructor: Document empty constructor;Documentation;UncommentedEmptyConstructor
22;main;src/main/City.java;3;12;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
23;main;src/main/City.java;3;12;LongVariable: Avoid excessively long variable names like weatherDescription;Code Style;LongVariable
24;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'feelsLike' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
25;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'name' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
26;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'temperature' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
27;main;src/main/City.java;3;12;MethodArgumentCouldBeFinal: Parameter 'weatherDescription' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
28;main;src/main/City.java;3;35;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
29;main;src/main/City.java;1;35;MethodNamingConventions: The instance method name 'ToString' doesn't match '[a-z][a-zA-Z0-9]*';Code Style;MethodNamingConventions
30;main;src/main/City.java;3;36;LocalVariableCouldBeFinal: Local variable 'string' could be declared final;Code Style;LocalVariableCouldBeFinal
31;main;src/main/City.java;3;36;"StringToString: Avoid calling toString() on String objects; this is unnecessary.";Performance;StringToString
32;main;src/main/City.java;3;38;UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'string';Code Style;UnnecessaryLocalBeforeReturn
33;main;src/main/MeteoDataCenter.java;3;9;AtLeastOneConstructor: Each class should declare at least one constructor;Code Style;AtLeastOneConstructor
34;main;src/main/MeteoDataCenter.java;3;9;CommentRequired: Class comments are required;Documentation;CommentRequired
35;main;src/main/MeteoDataCenter.java;3;11;CommentRequired: Field comments are required;Documentation;CommentRequired
36;main;src/main/MeteoDataCenter.java;3;11;"ImmutableField: Private field 'key' could be made final; it is only initialized in the declaration or constructor.";Design;ImmutableField
37;main;src/main/MeteoDataCenter.java;3;12;CommentRequired: Public method and constructor comments are required;Documentation;CommentRequired
38;main;src/main/MeteoDataCenter.java;3;12;MethodArgumentCouldBeFinal: Parameter 'cityName' is not assigned and could be declared final;Code Style;MethodArgumentCouldBeFinal
39;main;src/main/MeteoDataCenter.java;5;13;DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'city' (lines '13'-'44').;Error Prone;DataflowAnomalyAnalysis
40;main;src/main/MeteoDataCenter.java;5;13;DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'city' (lines '13'-'51').;Error Prone;DataflowAnomalyAnalysis
41;main;src/main/MeteoDataCenter.java;3;15;LocalVariableCouldBeFinal: Local variable 'url' could be declared final;Code Style;LocalVariableCouldBeFinal
42;main;src/main/MeteoDataCenter.java;3;18;LocalVariableCouldBeFinal: Local variable 'conn' could be declared final;Code Style;LocalVariableCouldBeFinal
43;main;src/main/MeteoDataCenter.java;3;19;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
44;main;src/main/MeteoDataCenter.java;3;20;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
45;main;src/main/MeteoDataCenter.java;3;22;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
46;main;src/main/MeteoDataCenter.java;3;22;LocalVariableCouldBeFinal: Local variable 'responseCode' could be declared final;Code Style;LocalVariableCouldBeFinal
47;main;src/main/MeteoDataCenter.java;3;24;AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements;Error Prone;AvoidLiteralsInIfCondition
48;main;src/main/MeteoDataCenter.java;3;24;"ConfusingTernary: Avoid if (x != y) ..; else ..;";Code Style;ConfusingTernary
49;main;src/main/MeteoDataCenter.java;1;25;AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.;Design;AvoidThrowingRawExceptionTypes
50;main;src/main/MeteoDataCenter.java;3;28;LocalVariableCouldBeFinal: Local variable 'informationString' could be declared final;Code Style;LocalVariableCouldBeFinal
51;main;src/main/MeteoDataCenter.java;3;29;CloseResource: Ensure that resources like this Scanner object are closed after use;Error Prone;CloseResource
52;main;src/main/MeteoDataCenter.java;3;29;LocalVariableCouldBeFinal: Local variable 'scanner' could be declared final;Code Style;LocalVariableCouldBeFinal
53;main;src/main/MeteoDataCenter.java;3;37;LocalVariableCouldBeFinal: Local variable 'parser' could be declared final;Code Style;LocalVariableCouldBeFinal
54;main;src/main/MeteoDataCenter.java;3;38;LocalVariableCouldBeFinal: Local variable 'object' could be declared final;Code Style;LocalVariableCouldBeFinal
55;main;src/main/MeteoDataCenter.java;3;39;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
56;main;src/main/MeteoDataCenter.java;3;40;LawOfDemeter: Potential violation of Law of Demeter (object not created locally);Design;LawOfDemeter
